ImageId,Label
1,1.4386182616885224
2,-0.08319158447427366
3,6.582276686416141
4,3.857133469865791
5,3.2564693990583935
6,6.829683610559575
7,0.03154593738274958
8,2.7686787250872174
9,1.1326035674150505
10,1.9922961372371235
11,5.62420704247909
12,5.0332737810398855
13,7.182063453220896
14,-0.007323150201567152
15,5.296064887517265
16,3.124534434960357
17,2.707787474938802
18,1.3321060765023747
19,8.44109172778683
20,1.195790388011507
21,7.425083257579378
22,1.44461865010219
23,3.6714265573258915
24,3.5796777385707417
25,7.831877924823336
26,5.619744748198561
27,4.970357640967838
28,9.159549298551998
29,6.9960585984821835
30,5.375368997776083
31,7.145878643817402
32,3.6254251844670096
33,4.8614043224092045
34,1.5737279097970047
35,4.048249118351511
36,2.696403187089733
37,4.133108243667654
38,4.178885273956827
39,4.952916071140341
40,4.4732969471673885
41,4.825465925359301
42,5.890207290970854
43,5.824818298542074
44,7.479409210705332
45,5.9856035265560665
46,5.7053831111128845
47,5.03328239204841
48,3.4587728682394543
49,7.748536505126528
50,4.229706283980183
51,6.916520970263652
52,6.584731139564089
53,4.029236153089575
54,4.130978465401701
55,6.949117631041578
56,3.0783870242025175
57,1.8234301212664166
58,4.675778247737459
59,1.9053395768582293
60,3.85047828624504
61,5.90785650941091
62,2.253590703331999
63,7.16152005488532
64,2.8009194027121582
65,0.9837572559203425
66,0.44672147589283373
67,1.7430192831392803
68,6.806229710900358
69,1.5435874986882725
70,2.6746429580684223
71,4.458469450795225
72,4.6350567679341355
73,5.419813305460981
74,7.431765497052244
75,5.177109179408423
76,4.918316543423704
77,4.700451405574701
78,6.965338487499527
79,1.5168356246735373
80,2.159701358848385
81,4.055360421859793
82,5.465021193348936
83,1.2959741580720463
84,2.638124235295824
85,8.765399784171155
86,2.504789663800172
87,4.662257029996387
88,2.8129640522833386
89,5.482160661691002
90,7.169789269887976
91,2.71390143674346
92,0.3424737419422188
93,6.837357998215727
94,6.008060053312353
95,4.388537612133793
96,5.138850894146732
97,3.877013150924019
98,7.7190743445839205
99,6.224312770501844
100,4.43176531451302
101,2.2799707058306256
102,5.460077986442617
103,1.8880264240737477
104,0.10829621585564997
105,7.895399501868657
106,3.4635022583838024
107,0.41655430974917795
108,5.331749353879265
109,0.43845141338663485
110,5.039436038904957
111,2.435429286533169
112,0.4115368950601139
113,4.933951739543251
114,3.8841575312848606
115,1.0893420356746235
116,4.171857491602556
117,2.817683510803751
118,1.4187435361977139
119,3.1994936767454663
120,5.157393329166941
121,3.352210000478796
122,7.156420938992075
123,2.8325392895798602
124,3.594389163279108
125,7.614309906349651
126,3.170815777355007
127,6.35660919579225
128,6.842780404114298
